Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
Borgia,2011,7.8,0,True,False,False,False
Trollhunters: Tales of Arcadia,2016,8.4,0,True,False,False,False
La Reina del Sur,2011,8.1,0,True,False,False,False
We Bare Bears,2015,7.9,0,True,True,False,False
Liv and Maddie,2013,6.3,0,True,False,False,False
In the Dark,2019,7.3,0,True,False,False,False
The Gift,2019,7.6,0,True,False,False,False
The Time in Between,2013,8.4,0,True,False,False,False
Cleverman,2016,6.4,86,True,False,False,False
"Pablo Escobar, The Drug Lord",2012,8.5,0,True,False,False,False
The Pharmacist,2020,7.8,0,True,False,False,False
Wet Hot American Summer: First Day of Camp,2015,7.4,0,True,False,False,False
Vampire Knight,2008,7.5,0,True,True,False,False
The Untamed,2019,8.9,0,True,False,False,False
How to Sell Drugs Online (Fast),2019,7.9,0,True,False,False,False
Taken,2017,6.6,32,True,True,False,False
Transformers: Prime,2010,7.8,0,True,False,False,False
Forensic Files,1996,8.8,0,True,True,True,False
Paradise PD,2018,7.0,40,True,False,False,False
The House of Flowers,2018,7.7,0,True,False,False,False
Quicksand,2019,7.5,0,True,False,False,False
Magnificent Century,2011,6.6,0,True,False,False,False
The Messengers,2015,6.5,47,True,False,False,False
Magi,2012,7.9,0,True,True,False,False
Car Masters: Rust to Riches,2018,8.9,0,True,False,False,False
Patriot Act with Hasan Minhaj,2018,8.2,0,True,False,False,False
Damnation,2017,7.7,64,True,False,False,False
Jericho,2006,7.2,54,True,False,False,False
American Odyssey,2015,7.3,54,True,False,False,False
Lab Rats,2012,6.6,0,True,False,False,True
Little Things,2016,8.3,0,True,False,False,False
From Dusk Till Dawn: The Series,2014,6.9,0,True,False,False,False
Grand Designs,1999,8.5,0,True,False,False,False
Explained,2018,8.0,0,True,False,False,False
Rhythm + Flow,2019,7.6,92,True,False,False,False
Carole & Tuesday,2019,7.9,100,True,False,False,False
Teresa,2010,7.7,0,True,False,False,False
The Innocents,2018,6.3,81,True,False,False,False
Tabula Rasa,2017,8.1,0,True,False,False,False
Seis Manos,2019,7.3,100,True,False,False,False
The King: Eternal Monarch,2020,8.5,0,True,False,False,False
Cable Girls,2017,7.7,0,True,False,False,False
Lady Dynamite,2016,7.4,97,True,False,False,False
Sunderland 'Til I Die,2018,8.2,0,True,False,False,False
Oliver Stone's Untold History of the United States,2012,8.6,0,True,False,False,False
Toy Boy,2019,6.5,0,True,False,False,False
Humsafar,2011,9.0,0,True,False,False,False
Crashing,2016,7.7,0,True,False,False,False
Norsemen,2016,7.8,0,True,False,False,False
AJ and the Queen,2020,7.6,50,True,False,False,False
El marginal,2016,8.2,0,True,False,False,False
Giri/Haji,2019,7.9,100,True,False,False,False
Van Helsing,2016,6.2,0,True,False,False,False
Hinterland,2013,7.6,0,True,False,False,False
Crossing Lines,2013,7.3,0,True,False,False,False
The Eddy,2020,7.0,68,True,False,False,False
A.D. The Bible Continues,2015,7.4,58,True,False,False,False
The Letter for the King,2020,5.9,58,True,False,False,False
The Boat,2011,7.3,0,True,False,False,False
Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,7.4,0,True,True,False,False
The Story of God with Morgan Freeman,2016,7.9,0,True,False,False,False
Greenhouse Academy,2017,7.0,0,True,False,False,False
Diagnosis,2019,7.8,100,True,False,False,False
W/ Bob & David,2015,7.4,89,True,False,False,False
Queen Sono,2020,5.8,100,True,False,False,False
Rotten,2018,7.1,86,True,False,False,False
Requiem,2018,6.5,75,True,False,False,False
Aggretsuko,2018,8.0,0,True,False,False,False
The Code,2011,7.4,100,True,False,False,False
October Faction,2020,6.1,33,True,False,False,False
Rubí,2004,8.1,0,True,False,False,False
Arthdal Chronicles,2019,8.3,0,True,False,False,False
The New Legends of Monkey,2018,6.5,100,True,False,False,False
America's Funniest Home Videos,1989,6.2,0,True,True,False,True
The Five,2016,7.7,0,True,False,False,False
Something in the Rain,2018,8.1,0,True,False,False,False
Adam Ruins Everything,2015,8.0,0,True,False,False,False
The Heirs,2013,7.5,0,True,False,False,False
Durarara!!,2010,7.9,0,True,True,False,False
Beastars,2019,8.0,0,True,False,False,False
Puella Magi Madoka Magica,2011,8.3,0,True,True,False,False
Vagabond,2019,8.3,0,True,False,False,False
Maid Sama!,2010,8.0,0,True,True,False,False
Robotech,1985,8.5,0,True,False,True,False
"The Mind, Explained",2019,8.1,0,True,False,False,False
Boys Over Flowers,2009,8.0,0,True,True,False,False
V Wars,2019,6.1,0,True,False,False,False
Occupied,2015,7.7,0,True,False,False,False
The Devil Is a Part-Timer!,2013,7.7,0,True,False,False,False
The Letdown,2017,7.5,91,True,False,False,False
Mischievous Kiss: Love in Tokyo,2013,7.8,0,True,False,False,False
Power Rangers,1993,6.4,73,True,False,True,False
Fate/stay night [Unlimited Blade Works],2014,8.0,0,True,True,False,False
Bobby Kennedy for President,2018,8.2,95,True,False,False,False
The Mist,2017,5.4,62,True,False,False,False
Hip Hop Evolution,2016,8.4,0,True,False,False,False
Justice League Unlimited,2004,8.7,0,True,False,False,False
Undercover,2019,7.9,0,True,False,False,False
Slugterra,2012,6.3,0,True,False,False,False
The Final Table,2018,7.7,50,True,False,False,False
Velvet,2014,8.1,0,True,False,False,False
Criminal: UK,2019,7.4,0,True,False,False,False
Salt Fat Acid Heat,2018,7.7,100,True,False,False,False
Suburra: Blood on Rome,2017,8.0,0,True,False,False,False
Signal,2016,8.8,0,True,False,False,False
The Rise of Phoenixes,2018,8.6,0,True,False,False,False
